"GEO_ID","NAME","PL002001","PL002002","PL002003","PL002004","PL002005","PL002006","PL002007","PL002008","PL002009","PL002010","PL002011","PL002012","PL002013","PL002014","PL002015","PL002016","PL002017","PL002018","PL002019","PL002020","PL002021","PL002022","PL002023","PL002024","PL002025","PL002026","PL002027","PL002028","PL002029","PL002030","PL002031","PL002032","PL002033","PL002034","PL002035","PL002036","PL002037","PL002038","PL002039","PL002040","PL002041","PL002042","PL002043","PL002044","PL002045","PL002046","PL002047","PL002048","PL002049","PL002050","PL002051","PL002052","PL002053","PL002054","PL002055","PL002056","PL002057","PL002058","PL002059","PL002060","PL002061","PL002062","PL002063","PL002064","PL002065","PL002066","PL002067","PL002068","PL002069","PL002070","PL002071","PL002072","PL002073",
"Geography","Geographic Area Name","Total","Total!!Hispanic or Latino","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!Population of one race","Total!!Not Hispanic or Latino!!Population of one race!!White alone","Total!!Not Hispanic or Latino!!Population of one race!!Black or African American alone","Total!!Not Hispanic or Latino!!Population of one race!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Population of one race!!Asian alone","Total!!Not Hispanic or Latino!!Population of one race!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Population of one race!!Some other race alone","Total!!Not Hispanic or Latino!!Population of two or more races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Black or African American","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race",
"1400000US17031000000","Census Tract 0, Cook County, Illinois","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","5391","772","4619","4446","1212","2985","48","143","3","55","173","168","38","11","19","0","29","10","2","3","48","0","0","0","3","5","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010200","Census Tract 102, Cook County, Illinois","10706","3789","6917","6465","2204","3814","17","360","17","53","452","413","76","14","22","3","72","18","19","15","120","3","0","0","2","45","4","31","17","0","0","9","0","0","0","0","1","0","2","0","1","0","0","1","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6649","1023","5626","5410","3061","2084","21","230","3","11","216","207","38","10","29","5","38","13","10","0","39","1","0","1","1","22","0","9","5","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","5325","439","4886","4684","2875","810","5","959","6","29","202","191","44","13","30","1","33","9","10","0","19","2","0","0","4","26","0","10","6","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010500","Census Tract 105, Cook County, Illinois","10944","1859","9085","8626","4786","2702","34","1054","9","41","459","433","57","28","46","3","141","15","8","3","48","7","0","0","2","75","0","23","10","2","0","6","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","7178","2006","5172","4925","2442","2028","13","391","2","49","247","218","37","9","46","0","41","4","3","5","45","0","0","2","0","26","0","25","8","0","0","15","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010700","Census Tract 107, Cook County, Illinois","10799","4566","6233","5917","2362","2977","23","492","7","56","316","297","61","13","38","4","61","16","6","0","63","2","0","0","1","32","0","18","10","3","0","2","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17031010800","Census Tract 108, Cook County, Illinois","5346","2817","2529","2340","853","1114","28","330","0","15","189","181","21","5","7","1","53","5","3","0","44","2","0","1","0","30","9","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
