ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT DESCRIPTION,CDC DATE,COC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,TIF SUBSIDY PERCENTAGE,AFFORDABLE UNITS,WARD,COMMUNITY AREA,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
15556,Midwest,Marshall HS IGA with CPS Fire Alarm 2022,3250 W Adams St,CPS,Ordinance authorizing the City to enter into an Intergovernmental Agreement with the Chicago Board of Education in order to provide Tax Increment Financing (TIF) funds to reimburse Chicago Public Schools (CPS) for the costs associated with the installation of a new fire alarm system to address safety concerns.,05/23/2022,,560000,560000,,,28,East Garfield Park,1154542.583327237,1898925.510687894,41.878471942,-87.708016123,"(41.87847194167412, -87.70801612307142)"
15439,Pulaski Corridor,Marine Leadership at Ames HS IGA with CPS BAS,1920 N Hamlin Av,CPS,IGA with CPS for Building Automation System improvements at Marine Leadership Academy at Ames HS.,04/27/2022,,186200,186200,,,26,Logan Square,1150696.779355279,1912593.822858145,41.916055193,-87.721779453,"(41.91605519289756, -87.72177945326514)"
15555,,Whittier ES IGA with CPS Chimney Stack 2022,1920 W 23rd St,CPS,Ordinance authorizing the City to enter into an Intergovernmental Agreement with the Chicago Board of Education in order to provide Tax Increment Financing (TIF) funds to reimburse Chicago Public Schools (CPS) for the costs associated with the shortening of the schools? chimney stacks to address structural stability concerns.,05/25/2022,,750000,750000,,,25,Lower West Side,1163834.390382803,1888799.97465055,41.850495706,-87.674184034,"(41.85049570635532, -87.6741840338507)"
15418,Lawrence/Kedzie,Albany Park Middle School IGA with CPS BAS,4929 N Sawyer Av,CPS,IGA with CPS for Building Automation System Improvements in the Albany Park Middle School.,04/27/2022,,783663,783663,,,33,Albany Park,1153858.196229592,1932691.890937046,41.971143303,-87.709627248,"(41.97114330330374, -87.70962724814486)"
15428,Central West,Whitney Young HS - Windows,211 S Laflin St,CPS,Provide an exterior envelope renovation including window replacement at main and addition buildings.,07/20/2022,,13570000,13570000,,,27,Near West Side,1166475.741849971,1899058.626746355,41.878590284,-87.664196345,"(41.87859028351851, -87.66419634456105)"
15419,67th/Cicero,Azuela ELementary School IGA with CPS for BAS,4707 W Marquette Rd,CPS,IGA with CPS for Building Automation System improvements at Azuela ES.,04/27/2022,,300000,300000,,,13,West Lawn,1146123.639902023,1859720.3880747,41.771051577,-87.73992325,"(41.77105157748324, -87.73992325012671)"
15438,Near North,Manierre ES IGA with CPS BAS,1420 N Hudson Av,CPS,IGA with CPS for Building Automation System improvements at Manierre ES.,04/27/2022,,405000,405000,,,27,Near North Side,1173014.972368533,1909920.567597847,41.90825367,-87.639863467,"(41.90825366976814, -87.63986346739672)"
15440,Northwest Industrial Corridor,McNair ES IGA with CPS BAS,4820 W Walton Dr,CPS,IGA with CPS for Building Automation System improvements for McNair ES,04/27/2022,,250000,250000,,,37,Austin,1143946.853937091,1905911.071707372,41.897846397,-87.746746447,"(41.8978463968556, -87.74674644722602)"
15437,Northwest Industrial Corridor,Lloyd ES IGA with CPS BAS 2022,2103 N Lamon Av,CPS,IGA with CPS for Building Automation System improvements at Lloyd ES.,04/27/2022,,600000,600000,,,36,Belmont Cragin,1143423.139135142,1913554.358781917,41.91883022,-87.748478608,"(41.91883022004693, -87.74847860787013)"
10772,47th/King Drive,IGA - CPD - Buckthorn Park,4330 S Calumet Av,Chicago Park District,An intergovernmental agreement between the City of Chicago and Chicago Park District.,03/18/2015,,200000,1680000,11.9,,3,Grand Boulevard,1179118.933389985,1876232.774260345,41.815674732,-87.618471297,"(41.81567473199519, -87.61847129686947)"
15286,Jefferson Park,IGA - CPD - Jefferson Park,4822 N Long Av,Chicago Park District,"Located in the Jefferson Park community area, the 7.96 acre park features two baseball fields, a combination football/soccer field , tennis courts, playground with water feature and an outdoor pool. The fieldhouse, constructed in 1930, is 22,200 square feet, and features a gymnasium and several clubrooms.  Proposed TIF funded investment will enable the Park District to complete  site work improvements to the playground, walking paths and ballfields.",02/23/2022,,500000,500000,,,45,Jefferson Park,1139458.13775203,1931593.736888644,41.968405337,-87.762605325,"(41.96840533730257, -87.76260532507628)"
15452,Central West,Westhaven Park IID,145 N Damen Av,Brinshore-Michaels,"Located in the Near West Side community area at the SE corner of Damen/Lake, Westhaven Park IID is the seventh and final phase of the Henry Horner Homes CHA Plan Forward site. Westhaven Park IID a mixed income development that will contain 96 total residential rental units (82, 1 bed and 14, 2 bed). The proposed building is new construction, will be 12-stories in height, and will contain 16 parking spaces and approx. 3,100 sq. ft. of commercial space.",06/22/2022,,10000000,49555388,,63,27,Near West Side,1163086.914594187,1901195.92002676,41.884527024,-87.676579342,"(41.88452702398105, -87.67657934189026)"
15284,Jefferson Park,IGA - CPD - Wilson (John F.) Park,4630 N Milwaukee Av,Chicago Park District,"Located in the Portage Park community area, the 8.65 acre park features two ball fields, basketball, tennis and volleyball courts.  A water play area and a playground are also on site. The 11,000 sq. ft. fieldhouse, was constructed in 1928, and features an assembly hall with a stage, two kitchens and several clubrooms.  Proposed TIF funded investment site work improvements will include upgrades to the playground, sand volleyball courts and ballfields.",02/23/2022,,500000,500000,,,45,Portage Park,1140651.77601413,1930281.624598247,41.964782886,-87.7582487,"(41.96478288558495, -87.75824870012931)"
1740,Jefferson Park,IGA - CPD - Park 0145 - Wilson,4630 N Milwaukee Av,Chicago Park District,"New playground at 4630 North Milwaukee Avenue, Chicago, Illinois with poured-in place rubberized surfacing, age-appropriate equipment, swings, landscaping, fencing, lighting, paving, and site furnishings. The requested $500,000 in TIF funds includes park design, demolition, drainage, utilities, remediation, earthwork, construction, and related activities.",08/23/2011,,500000,500000,100,,"11,12,45",Portage Park,1140651.77601413,1930281.624598247,41.964782886,-87.7582487,"(41.96478288558495, -87.75824870012931)"
1263,95th/Stony Island,95th Stony,1600 E 95th St,"95th & Stony I, L.L.C. and 95th & Stony II, L.L.C.","Located in South Deering community area, the project includes the construction of an 180,000 square foot retail center which consists of a grocery store, restaurants and other retail spaces.",04/01/1998,,7025000,28963203,24.25,,"19,8",South Deering,1188537.746187743,1842339.840767953,41.722449457,-87.585003569,"(41.72244945701069, -87.58500356910938)"
14901,Ogden/Pulaski,IGA - CBE - Cardenas ES,2345 S Millard Av,Chicago Board of Education,"Located in South Lawndale, the project includes  the playground replacement for the school.",09/14/2021,,550000,,,,22,South Lawndale,1152451.967333559,1887990.693270213,41.848507097,-87.715981188,"(41.848507096613424, -87.71598118785313)"
1310,Northwest Industrial Corridor,Home Depot - NW Industrial Corridor,1919 N Cicero Av,"Home Depot U.S.A., Inc.","The project includes the demolishing of existing industrial buildings on an 11 acre site, and construction of 118,000 square foot home improvement store, a 16,000 square foot outdoor garden center, 503 space parking lot, and installation of a new traffic signal at Cicero & Cortland.",04/09/2003,11/30/2007,2675915,18978127,14.1,,"31,36",Belmont Cragin,1144130.608793203,1912422.183746908,41.915710146,-87.745907755,"(41.91571014555266, -87.74590775451382)"
1319,Near North,Parkside Old Town - I,400 W Division St,"Parkside Old Town I, LLC et al","Located in the Near North community, the project includes construction of 2 mid-rise multi-family condominium buildings and 9 townhomes resulting in 263 residential units on an eight acre site.  There are 72 CHA units, 14 below market condominiums, and 177 market rate condominiums.",07/26/2006,01/15/2010,8737605,104981839,8.32,86,27,Near North Side,1173434.105649285,1908338.374637044,41.903902743,-87.638370886,"(41.90390274274689, -87.6383708862405)"
1261,Pilsen Industrial Corridor,International Produce Market,2431 S Wolcott Av,"CIPM, LLC and CenterPoint Realty Services Corp., LLC","Located in the Lower West Side community, the project includes the construction of 436,000 square feet warehouse and distribution space.",03/28/2001,06/09/2003,9000000,46639816,19.3,,25,Lower West Side,1164133.129509114,1887768.745407199,41.847659614,-87.673116705,"(41.84765961440421, -87.67311670533543)"
13974,Western Avenue North,IGA - CPD - Gross (Theodore) Park,2708 W Lawrence Av,Chicago Park District,"Located in Lincoln Square, the project includes the renovation of the playground, replacement of equipment, and replacement of surfaces that are beyond repair.",03/24/2021,,175000,175000,100,,40,Lincoln Square,1157401.831441971,1931812.744061842,41.968659346,-87.69662091,"(41.96865934616167, -87.69662091039145)"
1323,"35th/State,Bronzeville",Stateway Gardens - Phase 1 - Park Blvd,3500 S State St,Park Boulevard LLC,"The project includes the redevelopment  of Stateway Gardens as a mixed-income community to be called Parkway Boulevard. The Redevelopment Agreement calls for the construction of 1,316 units. Of the 1,316 total units, 679 are for-sale units (443
market rate and 236 affordable) and 637 are rental units (439 public housing and 198 affordable rental units). 880 units will be located on the Stateway Gardens site within the 35th/State Tax Increment Financing Redevelopment Project Area. The other 436 units are ""off-site"" and are located within the Bronzeville TIF District",01/11/2005,,8390000,70612816,11.88,100,3,Douglas,1176804.956209637,1881784.764108254,41.830962369,-87.626791846,"(41.83096236918424, -87.62679184613812)"
12450,Central West,IGA-CBE-Whitney Young Athletic Field,211 S Laflin St,Chicago Public Schools,"Whitney Young High School is located in the Near West Side Community Area. TIF funds will be used to construct a multipurpose athletic field including turf, a walking track, an electrical scoreboard and landscaping improvements.",11/21/2017,,4300000,4300000,100,,27,Near West Side,1166475.741849971,1899058.626746355,41.878590284,-87.664196345,"(41.87859028351851, -87.66419634456105)"
1306,Galewood/Armitage Industrial,Laborer's Union,1841 N Monitor Av,Construction Laborers' District Council Training and Apprentice Fund,"Located in the Austin community, the project constructs a 55,000 square foot training facility with the possibility of expanding to a total of 100,000 square feet in the future.  The facility includes offices, classrooms, three training bays, 186 parking spaces, and various outdoor construction training areas.",06/28/2006,,5226225,21152000,24.71,,29,Austin,1137173.689417468,1911795.217142405,41.914117588,-87.771482407,"(41.91411758800133, -87.7714824065702)"
12263,"LaSalle Central,River West",Riverside (Point) Park  II,444 W Lake St,,The Riverside Park II project is located in the LaSalle Central TIF District. The project consist of the construction of 1.5 acre park along the Chicago River over the Metra rail line tracks and a 450-foot river walk promenade.,05/13/2008,,29500000,41265400,71.49,,"1,42",Near West Side,1173096.550176498,1901749.395367343,41.885829704,-87.639806436,"(41.88582970383457, -87.63980643561894)"
